institute_id,name,link,tlr,rpc,go,oi,perception,city,state,score,rank
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16604.pdf,66.01,31.1,63.81,53.47,20.25,Kancheepuram,Tamil Nadu,49.26,44
IR-E-C-7252,Manipal Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-7252.pdf,70.32,24.86,54.6,62.23,33.57,Manipal,Karnataka,49.06,45
IR-E-U-0055,National Institute of Technology Silchar,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0055.pdf,61.63,35.41,62.3,51.68,19.21,Silchar,Assam,48.66,46
IR-E-U-0577,National Institute of Technology Durgapur,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0577.pdf,54.76,36.98,64.42,50.22,29.68,Durgapur,West Bengal,48.39,47
IR-E-U-0530,Motilal Nehru National Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0530.pdf,59.71,30.56,69.0,50.72,22.89,Allahabad,Uttar Pradesh,48.24,48
IR-E-C-37013,PSG College of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-37013.pdf,69.35,19.73,52.14,48.69,51.77,Coimbatore,Tamil Nadu,47.21,49
IR-E-C-41593,College of Engineering Pune,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-41593.pdf,61.94,21.89,67.56,51.85,29.4,Pune,Maharashtra,46.79,50
IR-E-U-0474,Sathyabama Institute of Science and Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0474.pdf,59.06,31.77,64.14,64.2,2.69,Chennai,Tamil Nadu,46.77,51
IR-E-U-0374,Dr. B. R. Ambedkar National Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0374.pdf,66.18,25.99,59.76,58.66,9.84,Jalandhar,Punjab,46.45,52
IR-E-U-0395,Indian Institute of Technology Jodhpur,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0395.pdf,67.71,26.19,56.17,59.29,8.05,Jodhpur,Rajasthan,46.13,53
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0149.pdf,57.49,31.2,62.46,55.13,9.84,Surat,Gujarat,45.59,54
IR-E-U-0249,Visvesvaraya Technological University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0249.pdf,66.34,30.98,53.14,49.19,6.18,Belgaum,Karnataka,45.37,55
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0105.pdf,55.18,29.8,67.58,41.15,18.86,New Delhi,Delhi,45.03,56
IR-E-U-0017,Jawaharlal Nehru Technological University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0017.pdf,71.72,29.24,40.88,53.9,11.13,Hyderabad,Telangana,44.97,57
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0020.pdf,70.69,28.57,44.25,54.5,6.18,Vaddeswaram,Andhra Pradesh,44.7,58
IR-E-C-1331,M. S. Ramaiah Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1331.pdf,65.53,13.98,62.74,55.31,18.15,Bengaluru,Karnataka,43.74,59
IR-E-U-0458,Kalasalingam Academy of Research and Higher Education,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0458.pdf,68.66,18.42,54.26,62.06,5.21,Srivilliputtur,Tamil Nadu,43.71,60
IR-E-U-0619,National Institute of Technology Meghalaya,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0619.pdf,66.27,20.64,54.64,59.35,7.59,Shillong,Meghalaya,43.69,61
IR-E-U-0221,International Institute of Information Technology Bangalore,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0221.pdf,59.63,17.63,63.93,57.99,17.79,Bengaluru,Karnataka,43.55,62
IR-E-U-0297,Defence Institute of Advanced Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0297.pdf,64.43,32.96,44.38,47.56,2.69,Pune,Maharashtra,43.13,63
IR-E-C-26794,Thiagarajar College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-26794.pdf,59.67,18.32,59.11,51.54,27.44,Madurai,Tamil Nadu,43.11,64
